fold,threshold,balanced_accuracy,malignant_recall,false_negative_rate,tn,fp,fn,tp
1,0.5,0.9512273901808785,0.9302325581395349,0.06976744186046513,70,2,3,40
1,0.4,0.9675387596899225,0.9767441860465116,0.023255813953488413,69,3,1,42
2,0.5,0.9814276485788114,0.9767441860465116,0.023255813953488413,71,1,1,42
2,0.4,0.9814276485788114,0.9767441860465116,0.023255813953488413,71,1,1,42
3,0.5,0.9642857142857143,0.9285714285714286,0.0714285714285714,71,0,3,39
3,0.4,0.9572434607645876,0.9285714285714286,0.0714285714285714,70,1,3,39
4,0.5,0.9880952380952381,0.9761904761904762,0.023809523809523836,71,0,1,41
4,0.4,0.9880952380952381,0.9761904761904762,0.023809523809523836,71,0,1,41
5,0.5,0.9691482226693494,0.9523809523809523,0.04761904761904767,70,1,2,40
5,0.4,0.9621059691482227,0.9523809523809523,0.04761904761904767,69,2,2,40
