time (s) ,capacitance (F)
1,8.1578058126892e-11
6.853658537,8.36999898761654e-11
12.70731707,1.25392502679747e-09
18.56097561,2.19265596268168e-09
24.41463415,2.93283008034142e-09
30.26829268,3.66533550144995e-09
36.12195122,4.38763922930371e-09
41.97560976,5.09856263279873e-09
47.82926829,5.76896182693754e-09
53.68292683,6.38463046051579e-09
59.53658537,6.93793220378165e-09
65.3902439,7.41660080549542e-09
71.24390244,7.8234030000449e-09
77.09756098,8.17011683365355e-09
82.95121951,8.45429149355541e-09
88.80487805,8.69442812439783e-09
94.65853659,8.88419856438871e-09
100.5121951,9.042819459662e-09
106.3658537,9.17731140523164e-09
112.2195122,9.27906197903498e-09
118.0731707,9.37325482455244e-09
123.9268293,9.43565398820751e-09
129.7804878,9.4781562555234e-09
135.6341463,9.51553737318488e-09
141.4878049,9.50087545267851e-09
147.3414634,9.38137838737127e-09
153.195122,9.24233316413684e-09
159.0487805,9.09305879752784e-09
164.902439,8.93454519021947e-09
170.7560976,8.79455360992964e-09
176.6097561,8.70192437606493e-09
182.4634146,8.59266964808644e-09
188.3170732,8.47724386454905e-09
194.1707317,8.35859398817619e-09
200.0243902,8.25327417087279e-09
205.8780488,8.1280264358989e-09
211.7317073,7.95932894405525e-09
217.5853659,7.69034529581322e-09
223.4390244,7.36962662349568e-09
229.2926829,7.07891340269382e-09
235.1463415,6.77046671478403e-09
241,6.47103274926259e-09
