time (s),impedance - imaginary (ohm)
1,-180497.1264
6.853658537,-175921.2614
12.70731707,-11742.86424
18.56097561,-6715.424211
24.41463415,-5020.614426
30.26829268,-4017.260397
36.12195122,-3355.929174
41.97560976,-2887.991467
47.82926829,-2552.38386
53.68292683,-2306.257956
59.53658537,-2122.333278
65.3902439,-1985.357517
71.24390244,-1882.122665
77.09756098,-1802.251358
82.95121951,-1741.672152
88.80487805,-1693.567862
94.65853659,-1657.392492
100.5121951,-1628.320017
106.3658537,-1604.457263
112.2195122,-1586.86341
118.0731707,-1570.91685
123.9268293,-1560.528178
129.7804878,-1553.530405
135.6341463,-1547.427471
141.4878049,-1549.815489
147.3414634,-1569.556557
153.195122,-1593.169569
159.0487805,-1619.323516
164.902439,-1648.052993
170.7560976,-1674.286676
176.6097561,-1692.108933
182.4634146,-1713.623885
188.3170732,-1736.956515
194.1707317,-1761.612537
200.0243902,-1784.092429
205.8780488,-1811.584169
211.7317073,-1849.980582
217.5853659,-1914.686988
223.4390244,-1998.012224
229.2926829,-2080.06557
235.1463415,-2174.828519
241,-2275.464317
