time (s),resistance (ohm)
1,293578.4298
6.853658537,287261.1986
12.70731707,36368.00661
18.56097561,17484.7262
24.41463415,12014.62758
30.26829268,9348.267661
36.12195122,7821.935089
41.97560976,6857.740051
47.82926829,6202.535986
53.68292683,5732.170319
59.53658537,5381.264196
65.3902439,5121.361285
71.24390244,4926.270323
77.09756098,4775.012753
82.95121951,4659.855614
88.80487805,4567.273756
94.65853659,4498.606906
100.5121951,4442.282469
106.3658537,4395.410608
112.2195122,4362.555941
118.0731707,4332.238424
123.9268293,4313.624595
129.7804878,4303.499299
135.6341463,4294.536869
141.4878049,4310.003762
147.3414634,4379.926961
153.195122,4465.169944
159.0487805,4559.021112
164.902439,4663.910757
170.7560976,4752.442115
176.6097561,4818.81685
182.4634146,4900.35689
188.3170732,4988.827681
194.1707317,5085.133213
200.0243902,5171.272423
205.8780488,5275.376776
211.7317073,5431.65258
217.5853659,5696.549808
223.4390244,6036.72037
229.2926829,6371.971622
235.1463415,6750.361638
241,7130.768429
